collect_year,player_id,player_name,team,position,is_qualified,innings,games,era,whip,win,lose,save,hold,qs,so,bb,hbp,hit,hr,r,er,k9,bb9,k_bb,pa_k_rate,pa_bb_rate,wpa,war,ip_per_game,pitcher_role,season_completion
2021,77263,김강률,두산,투수,False,51.667,50,2.09032,1.53,3,0,21,3,0,41,25,1,54,2,15,12,7.14,4.35,1.64,17.8,10.9,2.608,1.67,1.033,CL,1.0
2022,77263,김강률,두산,투수,False,24.667,26,4.37838,1.46,3,4,9,1,0,15,8,2,28,2,13,12,5.47,2.92,1.88,13.6,7.3,0.284,0.13,0.949,CL,1.0
2023,77263,김강률,두산,투수,False,25.667,32,4.20779,1.36,1,0,1,7,0,21,12,2,23,2,14,12,7.36,4.21,1.75,18.3,10.4,0.511,0.03,0.802,RP,1.0
2024,77263,김강률,두산,투수,False,42.0,53,3.0,1.48,2,2,1,12,0,33,21,2,41,1,16,14,7.07,4.5,1.5699999999999998,17.6,11.2,1.371,0.92,0.792,RP,1.0
2025,77263,김강률,LG,투수,False,12.333,12,1.4594594594594594,1.22,1,0,1,4,0,9,8,1,7,0,2,2,6.57,5.84,1.13,17.6,15.7,0.621,0.41,1.028,SU,1.0
2026,77263,김강률,LG,투수,False,1.0,2,9.0,5.0,0,0,0,0,0,1,2,0,3,0,1,1,9.0,18.0,0.5,12.5,25.0,-0.185,-0.02,0.5,RP,0.757
2021,71837,김강민,SSG,,False,0.667,1,13.5,3.0,0,0,0,0,0,1,1,0,1,1,1,1,13.5,13.5,1.0,25.0,25.0,0.001,0.0,0.667,RP,1.0
2023,65522,김강현,롯데,투수,False,3.0,2,3.0,1.0,0,0,0,0,0,0,2,1,1,0,1,1,0.0,6.0,0.0,0.0,15.4,0.002,0.01,1.5,RP,1.0
2024,65522,김강현,롯데,투수,False,25.333,26,3.55263,1.82,0,0,0,0,0,24,18,2,28,2,13,10,8.53,6.39,1.33,19.5,14.6,-0.128,0.26,0.974,RP,1.0
2025,65522,김강현,롯데,투수,False,72.0,67,4.0,1.25,2,2,0,4,0,36,21,7,69,9,37,32,4.5,2.63,1.71,11.8,6.9,-0.081,0.23,1.075,RP,1.0
2026,65522,김강현,롯데,투수,False,21.667,22,2.4923076923076923,1.52,1,0,0,3,0,10,11,0,22,0,6,6,4.15,4.57,0.91,10.5,11.6,-0.22,0.53,0.985,RP,0.757
2018,76225,김건국,롯데,투수,False,10.667,5,2.53125,1.03,1,0,0,0,0,9,0,1,11,1,3,3,7.59,0.0,99.99,22.0,0.0,0.278,0.36,2.133,RP,1.0
2019,76225,김건국,롯데,투수,False,66.667,37,4.46,1.5,3,3,0,3,0,43,27,6,73,5,34,33,5.8,3.65,1.59,14.7,9.2,0.32,0.57,1.802,RP,1.0
2020,76225,김건국,롯데,투수,False,31.667,32,3.97895,1.23,3,2,0,1,0,31,9,3,30,2,14,14,8.81,2.56,3.44,22.3,6.5,-0.058,0.61,0.99,RP,1.0
2021,76225,김건국,롯데,투수,False,22.0,13,6.54545,1.86,0,0,0,0,0,17,14,0,27,3,16,16,6.95,5.73,1.21,16.3,13.5,0.116,-0.15,1.692,RP,1.0
2023,76225,김건국,KIA,투수,False,16.0,6,6.75,1.38,0,1,0,0,0,9,4,1,18,0,12,12,5.06,2.25,2.25,12.9,5.7,-0.093,0.04,2.667,RP,1.0
2024,76225,김건국,KIA,투수,False,34.333,20,7.86408,1.81,0,1,0,0,0,20,14,2,48,5,33,30,5.24,3.67,1.43,12.1,8.5,-0.17,-0.52,1.717,RP,1.0
