collect_year,player_id,player_name,team,position,is_qualified,games,ab,avg,obp,slg,ops,isop,babip,woba,wrc_plus,hr,rbi,run,hit,h2,h3,bb,hbp,so,sb,wpa,war,season_completion
2019,66354,주효상,키움,포수,False,18,29,0.2068965517241379,0.233,0.345,0.578,0.1379999999999999,0.273,0.249,34.4,0,5,3,6,2,1,1,0,7,0,-0.052,-0.19,1.0
2020,66354,주효상,키움,포수,False,63,84,0.1904761904761904,0.296,0.238,0.534,0.0479999999999999,0.271,0.249,42.6,0,7,6,16,4,0,13,0,26,0,-0.144,-0.57,1.0
2023,66354,주효상,KIA,포수,False,19,32,0.063,0.118,0.063,0.181,0.0,0.091,0.116,-52.2,0,1,2,2,0,0,2,0,10,0,-0.541,-0.4,1.0
2025,66354,주효상,KIA,포수,False,8,15,0.3333333333333333,0.412,0.467,0.879,0.134,0.455,0.389,145.2,0,1,1,5,2,0,2,0,4,0,0.557,0.14,1.0
2026,66354,주효상,KIA,포수,False,12,19,0.2105263157894737,0.25,0.211,0.461,0.0,0.286,0.216,19.7,0,1,2,4,0,0,1,0,5,0,-0.098,-0.1,0.757
2022,51060,지명성,KT,투수,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2011,73306,지석훈,넥센,,False,52,109,0.2201834862385321,0.301,0.349,0.65,0.1289999999999999,0.278,0.286,0.0,2,8,9,24,6,1,12,1,29,1,0.0,,1.0
2012,73306,지석훈,넥센,,False,61,104,0.173076923076923,0.271,0.26,0.531,0.087,0.215,0.263,0.0,1,11,11,18,4,1,10,4,24,1,0.0,,1.0
2013,73306,지석훈,NC,,False,105,309,0.2200647249190938,0.302,0.33,0.632,0.11,0.285,0.291,0.0,3,35,25,68,21,2,31,7,82,2,0.0,,1.0
2014,73306,지석훈,NC,,False,114,212,0.2735849056603773,0.34,0.462,0.802,0.188,0.323,0.348,0.0,6,34,26,58,14,4,16,6,46,1,0.795,,1.0
2015,73306,지석훈,NC,,True,137,415,0.2674698795180723,0.328,0.383,0.711,0.1159999999999999,0.311,0.317,0.0,11,46,53,111,15,0,23,16,85,4,0.079,,1.0
